epochs,hidden_layers,neurons,activation,optimizer,test_accuracy
5,1,64,ReLU,Adam,0.969
5,1,64,ReLU,SGD,0.814
5,1,64,Tanh,Adam,0.9696
5,1,64,Tanh,SGD,0.8066
5,1,128,ReLU,Adam,0.9714
5,1,128,ReLU,SGD,0.8106
5,1,128,Tanh,Adam,0.974
5,1,128,Tanh,SGD,0.8123
5,1,256,ReLU,Adam,0.9782
5,1,256,ReLU,SGD,0.8257
5,1,256,Tanh,Adam,0.9745
5,1,256,Tanh,SGD,0.8347
5,2,64,ReLU,Adam,0.9657
5,2,64,ReLU,SGD,0.5544
5,2,64,Tanh,Adam,0.9684
5,2,64,Tanh,SGD,0.7127
5,2,128,ReLU,Adam,0.9747
5,2,128,ReLU,SGD,0.642
5,2,128,Tanh,Adam,0.9751
5,2,128,Tanh,SGD,0.7367
5,2,256,ReLU,Adam,0.9775
5,2,256,ReLU,SGD,0.6156
5,2,256,Tanh,Adam,0.9753
5,2,256,Tanh,SGD,0.7914
10,1,64,ReLU,Adam,0.9754
10,1,64,ReLU,SGD,0.8663
10,1,64,Tanh,Adam,0.9715
10,1,64,Tanh,SGD,0.8556
10,1,128,ReLU,Adam,0.9761
10,1,128,ReLU,SGD,0.8642
10,1,128,Tanh,Adam,0.9779
10,1,128,Tanh,SGD,0.8685
10,1,256,ReLU,Adam,0.9792
10,1,256,ReLU,SGD,0.8649
10,1,256,Tanh,Adam,0.9787
10,1,256,Tanh,SGD,0.8727
10,2,64,ReLU,Adam,0.9721
10,2,64,ReLU,SGD,0.7899
10,2,64,Tanh,Adam,0.9751
10,2,64,Tanh,SGD,0.8203
10,2,128,ReLU,Adam,0.9791
10,2,128,ReLU,SGD,0.8257
10,2,128,Tanh,Adam,0.9773
10,2,128,Tanh,SGD,0.8489
10,2,256,ReLU,Adam,0.9787
10,2,256,ReLU,SGD,0.8253
10,2,256,Tanh,Adam,0.9768
10,2,256,Tanh,SGD,0.8588
20,1,64,ReLU,Adam,0.9768
20,1,64,ReLU,SGD,0.8911
20,1,64,Tanh,Adam,0.9764
20,1,64,Tanh,SGD,0.889
20,1,128,ReLU,Adam,0.9793
20,1,128,ReLU,SGD,0.8931
20,1,128,Tanh,Adam,0.9763
20,1,128,Tanh,SGD,0.8925
20,1,256,ReLU,Adam,0.9808
5,1,64,ReLU,Adam,0.968
5,1,64,ReLU,SGD,0.8064
5,1,64,Tanh,Adam,0.9659
5,1,64,Tanh,SGD,0.7958
5,1,128,ReLU,Adam,0.9743
5,1,128,ReLU,SGD,0.8158
5,1,128,Tanh,Adam,0.9727
5,1,128,Tanh,SGD,0.8144
5,1,64,ReLU,Adam,0.9672
5,1,64,ReLU,SGD,0.8254
5,1,64,Tanh,Adam,0.9681
5,1,64,Tanh,SGD,0.821
5,1,128,ReLU,Adam,0.976
5,1,128,ReLU,SGD,0.8103
5,1,128,Tanh,Adam,0.972
5,1,128,Tanh,SGD,0.8134
5,1,256,ReLU,Adam,0.9754
5,1,256,ReLU,SGD,0.8242
5,1,256,Tanh,Adam,0.9767
5,1,256,Tanh,SGD,0.8248
5,2,64,ReLU,Adam,0.9687
5,2,64,ReLU,SGD,0.5935
5,2,64,Tanh,Adam,0.9715
5,2,64,Tanh,SGD,0.7159
5,2,128,ReLU,Adam,0.9756
5,2,128,ReLU,SGD,0.6149
5,2,128,Tanh,Adam,0.9746
5,2,128,Tanh,SGD,0.7533
5,2,256,ReLU,Adam,0.9761
5,2,256,ReLU,SGD,0.6791
5,2,256,Tanh,Adam,0.975
5,2,256,Tanh,SGD,0.7767
10,1,64,ReLU,Adam,0.9723
10,1,64,ReLU,SGD,0.8606
10,1,64,Tanh,Adam,0.975
10,1,64,Tanh,SGD,0.852
10,1,128,ReLU,Adam,0.9773
10,1,128,ReLU,SGD,0.8636
10,1,128,Tanh,Adam,0.9763
10,1,128,Tanh,SGD,0.8658
10,1,256,ReLU,Adam,0.9808
10,1,256,ReLU,SGD,0.8704
10,1,256,Tanh,Adam,0.9815
10,1,256,Tanh,SGD,0.8684
10,2,64,ReLU,Adam,0.9754
10,2,64,ReLU,SGD,0.8017
10,2,64,Tanh,Adam,0.9723
10,2,64,Tanh,SGD,0.8389
10,2,128,ReLU,Adam,0.9811
10,2,128,ReLU,SGD,0.8189
10,2,128,Tanh,Adam,0.9769
10,2,128,Tanh,SGD,0.8482
10,2,256,ReLU,Adam,0.9794
10,2,256,ReLU,SGD,0.8152
10,2,256,Tanh,Adam,0.9783
10,2,256,Tanh,SGD,0.8599
20,1,64,ReLU,Adam,0.9757
20,1,64,ReLU,SGD,0.8935
20,1,64,Tanh,Adam,0.9727
20,1,64,Tanh,SGD,0.891
20,1,128,ReLU,Adam,0.9776
20,1,128,ReLU,SGD,0.8938
20,1,128,Tanh,Adam,0.9753
20,1,128,Tanh,SGD,0.8934
20,1,256,ReLU,Adam,0.9802
20,1,256,ReLU,SGD,0.8955
20,1,256,Tanh,Adam,0.9814
20,1,256,Tanh,SGD,0.895
20,2,64,ReLU,Adam,0.9742
20,2,64,ReLU,SGD,0.8818
20,2,64,Tanh,Adam,0.9736
20,2,64,Tanh,SGD,0.8846
20,2,128,ReLU,Adam,0.9779
20,2,128,ReLU,SGD,0.8874
20,2,128,Tanh,Adam,0.9746
20,2,128,Tanh,SGD,0.8879
20,2,256,ReLU,Adam,0.9816
20,2,256,ReLU,SGD,0.8924
20,2,256,Tanh,Adam,0.9771
20,2,256,Tanh,SGD,0.8939
